"s1","s2","s3","s4","s5","s6","method","em","matches"
5,3,4,6,2,1,"cart",1.40257453918457,7
5,6,3,2,4,1,"cart",1.99996066093445,24
3,1,6,5,2,4,"cart",1.58297610282898,9
6,3,5,1,4,2,"cart",1.75122058391571,7
4,1,2,5,6,3,"cart",1.34982311725616,14
5,4,3,2,1,6,"cart",1.23975133895874,14
6,2,5,1,3,4,"cart",1.31924974918365,13
2,6,3,5,4,1,"cart",1.57414996623993,14
6,2,4,1,5,3,"cart",1.48818457126617,11
1,4,2,3,6,5,"cart",1.3634250164032,17
4,5,2,3,1,6,"cart",1.22672891616821,11
4,2,5,6,3,1,"cart",1.66053533554077,13
3,4,2,6,5,1,"cart",1.56304323673248,7
1,2,4,6,5,3,"cart",1.59220969676971,15
6,5,3,4,2,1,"cart",1.62503528594971,12
2,6,1,3,4,5,"cart",1.82135474681854,9
6,4,3,2,1,5,"cart",1.60963952541351,21
6,4,2,1,3,5,"cart",1.66151821613312,18
3,5,1,2,6,4,"cart",1.84102368354797,4
1,5,6,3,2,4,"cart",1.54027450084686,13
2,3,6,1,4,5,"cart",1.45259058475494,7
4,6,1,3,2,5,"cart",1.69613885879517,15
4,3,2,1,5,6,"cart",1.85467720031738,10
4,2,6,5,3,1,"cart",1.43456339836121,10
2,3,5,1,6,4,"cart",2.0936644077301,3
5,4,3,1,6,2,"cart",1.6750830411911,16
4,3,5,1,6,2,"cart",1.43467354774475,11
1,5,2,4,6,3,"cart",1.56837368011475,9
3,6,4,5,1,2,"cart",1.59773588180542,5
4,2,5,3,1,6,"cart",1.76241827011108,7
4,3,2,6,5,1,"cart",1.53781056404114,10
6,3,1,5,2,4,"cart",1.48637819290161,10
1,2,3,6,5,4,"cart",1.6928768157959,9
6,4,2,5,3,1,"cart",1.41852998733521,12
3,4,6,5,1,2,"cart",1.32598078250885,2
4,2,6,1,5,3,"cart",1.68282639980316,7
4,1,3,6,2,5,"cart",1.44462049007416,14
2,3,5,4,1,6,"cart",1.72394895553589,6
6,3,1,4,2,5,"cart",1.65256667137146,6
5,6,2,1,3,4,"cart",1.55993604660034,12
5,4,6,1,3,2,"cart",1.28515565395355,11
1,6,3,2,5,4,"cart",1.59233605861664,17
2,4,5,3,1,6,"cart",1.81173741817474,12
