"s1","s2","s3","s4","s5","s6","method","em","matches"
5,4,6,3,1,2,"cart",1.36334717273712,11
3,5,4,2,6,1,"cart",1.60529744625092,9
2,6,1,4,3,5,"cart",1.51477861404419,10
1,4,6,5,2,3,"cart",1.41800701618195,15
6,4,5,3,2,1,"cart",1.33509480953217,21
4,3,1,2,6,5,"cart",1.38766419887543,13
1,2,5,6,4,3,"cart",1.41548991203308,13
1,5,4,6,2,3,"cart",1.46760177612305,10
6,1,3,5,4,2,"cart",1.37159514427185,9
3,6,5,4,2,1,"cart",1.59778153896332,7
6,1,2,5,4,3,"cart",1.68558442592621,12
6,3,2,4,5,1,"cart",1.62089943885803,7
1,3,6,5,2,4,"cart",1.380854845047,5
4,3,6,5,1,2,"cart",1.42945551872253,12
4,2,3,1,6,5,"cart",1.47168529033661,6
4,2,5,3,6,1,"cart",2.01364517211914,11
5,4,3,6,1,2,"cart",1.28168559074402,16
6,5,3,1,4,2,"cart",1.55756390094757,23
6,1,4,5,3,2,"cart",1.83184623718262,13
4,1,2,5,6,3,"cart",1.65625596046448,10
1,5,6,2,4,3,"cart",1.38636922836304,11
6,2,1,3,5,4,"cart",1.5236691236496,12
2,1,4,6,3,5,"cart",1.3919540643692,16
4,5,2,3,1,6,"cart",1.37228560447693,11
3,6,4,2,1,5,"cart",1.35893785953522,8
1,3,2,6,5,4,"cart",1.4799884557724,2
1,5,2,3,6,4,"cart",1.5425888299942,10
1,5,6,3,4,2,"cart",1.73914813995361,14
6,5,2,1,4,3,"cart",1.46518981456757,9
4,1,5,6,2,3,"cart",1.68806779384613,15
5,6,1,4,2,3,"cart",1.53524208068848,8
4,1,5,6,3,2,"cart",1.89983117580414,13
1,2,4,5,6,3,"cart",1.63182163238525,9
4,5,1,3,2,6,"cart",1.41012370586395,14
6,4,3,5,2,1,"cart",1.60296356678009,19
3,1,6,4,2,5,"cart",1.59321427345276,6
2,5,4,1,6,3,"cart",1.37243807315826,7
5,2,6,1,3,4,"cart",1.29894888401031,12
5,3,4,6,2,1,"cart",1.30102610588074,12
2,3,6,4,1,5,"cart",1.6010502576828,8
1,2,5,4,3,6,"cart",1.45969521999359,13
4,1,5,2,3,6,"cart",1.40548372268677,18
5,2,6,1,4,3,"cart",1.66414773464203,12
1,6,2,5,3,4,"cart",1.86831915378571,9
3,2,6,5,4,1,"cart",1.44550120830536,4
3,5,2,4,6,1,"cart",1.54488968849182,2
1,4,6,3,2,5,"cart",1.62140691280365,13
1,5,4,2,3,6,"cart",1.2826087474823,12
1,4,5,3,2,6,"cart",1.52820575237274,17
1,6,2,4,5,3,"cart",1.3993923664093,10
4,3,5,1,2,6,"cart",1.63688516616821,9
3,6,1,4,5,2,"cart",1.74347901344299,9
6,2,5,4,1,3,"cart",1.61100423336029,13
5,1,4,3,2,6,"cart",1.32796275615692,10
4,5,3,1,6,2,"cart",1.59687757492065,12
3,1,2,4,6,5,"cart",1.82093000411987,3
1,6,2,3,5,4,"cart",1.72086381912231,17
2,4,1,3,5,6,"cart",1.67411851882935,17
6,1,5,3,4,2,"cart",1.44842708110809,12
2,4,3,6,5,1,"cart",2.03159737586975,14
6,5,4,3,2,1,"cart",1.40232717990875,15
4,3,6,1,2,5,"cart",1.37486171722412,12
6,5,1,4,2,3,"cart",1.61554026603699,10
2,6,5,1,3,4,"cart",1.34976398944855,17
2,1,4,5,3,6,"cart",1.39388787746429,12
1,3,2,4,6,5,"cart",1.56980204582214,1
3,6,2,4,5,1,"cart",1.5529465675354,8
2,3,4,6,5,1,"cart",2.06536316871643,9
5,1,4,3,6,2,"cart",1.47423648834229,17
4,5,6,3,2,1,"cart",1.36572623252869,9
6,3,5,1,4,2,"cart",1.44156062602997,6
6,2,3,5,1,4,"cart",1.43604946136475,16
5,4,6,1,2,3,"cart",1.3680591583252,7
6,2,4,5,3,1,"cart",1.41140699386597,17
3,1,2,6,4,5,"cart",1.4751592874527,5
6,5,4,1,3,2,"cart",1.61016309261322,12
4,6,1,5,3,2,"cart",1.70106649398804,10
4,5,1,6,3,2,"cart",1.52801513671875,10
5,6,4,2,1,3,"cart",1.71831095218658,17
1,5,2,6,4,3,"cart",1.73304831981659,8
3,1,6,2,5,4,"cart",1.38461363315582,8
1,2,3,4,5,6,"cart",1.33845818042755,11
5,1,2,4,6,3,"cart",1.70572423934937,12
1,2,5,6,4,3,"cart",1.74257922172546,14
6,4,1,3,2,5,"cart",1.94577300548553,9
4,5,3,2,6,1,"cart",1.41215944290161,17
3,6,2,1,4,5,"cart",1.43876528739929,4
5,2,6,1,4,3,"cart",1.72610783576965,14
2,6,4,5,3,1,"cart",1.59436941146851,16
5,6,4,1,2,3,"cart",1.63496875762939,13
1,3,4,6,2,5,"cart",1.67014706134796,4
2,3,1,6,5,4,"cart",1.4675498008728,11
5,4,3,1,6,2,"cart",1.45636427402496,12
1,6,5,2,3,4,"cart",1.37382125854492,10
4,6,2,5,1,3,"cart",1.86470854282379,13
2,3,4,5,6,1,"cart",1.38012337684631,3
3,4,2,6,5,1,"cart",1.51843535900116,7
1,4,5,6,3,2,"cart",1.4989241361618,8
2,1,6,3,5,4,"cart",1.4201021194458,10
6,5,2,1,3,4,"cart",1.62419641017914,13
3,1,5,6,4,2,"cart",1.47750520706177,7
1,3,2,5,6,4,"cart",1.64565658569336,3
6,5,2,4,1,3,"cart",1.65429544448853,14
3,5,2,4,6,1,"cart",1.34828746318817,5
4,1,6,2,3,5,"cart",1.35099792480469,12
5,2,4,3,6,1,"cart",1.29404962062836,16
6,3,1,4,2,5,"cart",1.50044047832489,11
4,5,1,2,3,6,"cart",1.4439845085144,12
3,6,2,1,4,5,"cart",1.42456614971161,12
4,3,6,2,5,1,"cart",1.46946322917938,16
5,3,1,4,2,6,"cart",1.26172435283661,11
2,6,5,1,4,3,"cart",1.48516535758972,16
1,3,6,4,2,5,"cart",1.41187751293182,2
3,1,5,2,6,4,"cart",1.33276844024658,6
3,4,5,6,2,1,"cart",1.52228355407715,7
3,2,5,1,6,4,"cart",1.62178659439087,8
1,4,6,3,2,5,"cart",1.40995299816132,12
2,6,4,5,1,3,"cart",1.73126697540283,12
5,4,1,2,6,3,"cart",1.30298590660095,10
2,6,4,5,3,1,"cart",1.43401324748993,14
3,2,6,1,5,4,"cart",1.62705147266388,4
1,5,4,6,3,2,"cart",1.36185622215271,12
6,1,5,3,4,2,"cart",1.59640085697174,11
3,5,4,1,2,6,"cart",1.65347194671631,9
6,2,4,1,3,5,"cart",1.46720278263092,15
4,2,3,1,5,6,"cart",1.27969491481781,16
2,1,5,6,4,3,"cart",1.78304934501648,9
6,2,5,3,1,4,"cart",1.45060658454895,18
2,1,3,6,5,4,"cart",1.42542946338654,12
2,6,3,1,5,4,"cart",1.51396751403809,13
1,3,2,4,5,6,"cart",1.29227101802826,7
1,5,3,4,2,6,"cart",1.44272291660309,14
3,5,2,6,1,4,"cart",1.55073261260986,8
4,5,1,3,6,2,"cart",1.26503098011017,18
6,3,5,2,1,4,"cart",1.43966627120972,9
1,4,3,2,5,6,"cart",1.52928519248962,16
1,2,6,4,3,5,"cart",1.57394957542419,13
2,3,1,4,5,6,"cart",1.81210470199585,15
6,1,4,3,5,2,"cart",1.72281670570374,15
3,6,1,5,4,2,"cart",1.42000460624695,5
6,4,2,3,5,1,"cart",1.6272337436676,12
3,2,1,6,4,5,"cart",1.46451056003571,5
1,2,3,5,6,4,"cart",1.7814085483551,16
3,6,1,5,4,2,"cart",1.50634586811066,9
5,4,1,3,6,2,"cart",1.3976616859436,17
3,1,2,6,5,4,"cart",1.38089764118195,6
2,1,4,6,3,5,"cart",1.54843175411224,13
6,5,4,3,1,2,"cart",1.36151802539825,14
5,4,6,2,1,3,"cart",1.36425542831421,13
3,6,1,5,2,4,"cart",2.02402687072754,6
2,4,1,5,3,6,"cart",1.37849962711334,14
3,1,5,6,2,4,"cart",1.41416013240814,2
1,6,2,4,3,5,"cart",1.48556792736053,11
3,4,2,6,1,5,"cart",1.94445466995239,5
1,5,2,6,3,4,"cart",1.72635412216187,13
5,4,1,6,3,2,"cart",1.53163909912109,7
3,4,6,2,5,1,"cart",1.28355658054352,3
6,1,2,5,4,3,"cart",1.52478897571564,9
3,4,1,6,2,5,"cart",1.46622514724731,5
3,6,5,4,1,2,"cart",1.54432463645935,6
5,1,4,2,3,6,"cart",1.59913849830627,20
1,2,5,3,4,6,"cart",2.06320381164551,13
4,2,1,6,3,5,"cart",1.51616048812866,8
2,5,3,6,1,4,"cart",1.45845127105713,9
5,6,1,3,2,4,"cart",1.45331072807312,15
3,4,1,5,2,6,"cart",1.74493288993835,2
3,5,6,2,4,1,"cart",1.92911970615387,4
4,1,5,2,6,3,"cart",1.54835855960846,19
1,5,4,2,3,6,"cart",1.21225559711456,15
5,4,2,1,3,6,"cart",1.1812504529953,17
6,4,3,2,5,1,"cart",1.7907235622406,16
3,6,2,1,5,4,"cart",1.51367402076721,5
1,6,5,3,2,4,"cart",1.51210808753967,11
4,3,2,6,1,5,"cart",1.45840930938721,9
5,1,3,2,6,4,"cart",1.58648574352264,10
5,4,2,3,1,6,"cart",1.52359807491302,15
5,2,1,6,3,4,"cart",1.63539743423462,9
3,1,6,2,5,4,"cart",1.50778043270111,3
2,3,6,4,5,1,"cart",1.61937391757965,10
3,6,4,5,2,1,"cart",1.73255753517151,11
6,2,4,1,5,3,"cart",1.56957149505615,12
1,2,3,5,4,6,"cart",1.58362257480621,6
6,1,3,2,4,5,"cart",1.75819218158722,10
1,6,4,2,5,3,"cart",1.645956158638,10
4,1,5,2,3,6,"cart",1.33953273296356,14
2,1,5,6,3,4,"cart",1.89850258827209,17
2,5,3,1,4,6,"cart",1.47990143299103,17
3,2,6,4,5,1,"cart",1.5802857875824,3
3,4,2,1,5,6,"cart",1.58467233181,4
2,3,6,1,5,4,"cart",1.55773746967316,7
4,5,2,6,1,3,"cart",1.26328778266907,8
5,4,1,2,3,6,"cart",1.29135274887085,16
4,2,1,3,6,5,"cart",1.94573616981506,12
5,6,2,4,1,3,"cart",1.51829862594604,11
5,2,3,6,4,1,"cart",1.75771391391754,13
4,2,3,5,6,1,"cart",1.75211048126221,11
4,2,3,1,6,5,"cart",1.49599373340607,7
4,3,2,1,6,5,"cart",1.48998808860779,4
4,2,6,5,3,1,"cart",1.41520392894745,5
4,3,2,1,5,6,"cart",1.46633982658386,5
3,2,5,4,6,1,"cart",1.81392347812653,7
6,4,2,5,1,3,"cart",1.63579034805298,10
5,4,3,2,6,1,"cart",1.27903580665588,22
3,4,2,5,6,1,"cart",1.73889398574829,5
4,2,6,3,1,5,"cart",1.34063458442688,16
5,3,1,6,4,2,"cart",1.8084853887558,11
2,4,6,1,3,5,"cart",1.34170269966125,8
5,2,6,4,1,3,"cart",1.48500537872314,12
1,3,2,4,5,6,"cart",1.37460875511169,6
1,5,3,4,6,2,"cart",1.63524103164673,19
5,6,4,1,3,2,"cart",1.49163520336151,10
5,6,4,3,2,1,"cart",1.5364363193512,21
6,5,2,1,3,4,"cart",1.42749953269958,11
3,1,4,6,2,5,"cart",1.54376137256622,4
3,1,4,6,2,5,"cart",1.43004202842712,5
2,5,6,3,4,1,"cart",1.37753450870514,15
1,3,6,5,2,4,"cart",1.47496259212494,4
4,6,3,2,5,1,"cart",1.53421688079834,22
2,3,6,4,5,1,"cart",1.41526579856873,8
3,5,6,1,4,2,"cart",1.58493888378143,4
4,6,2,3,5,1,"cart",1.2931512594223,15
4,3,5,6,2,1,"cart",1.41513824462891,11
1,3,2,6,4,5,"cart",1.26007699966431,2
4,3,1,5,2,6,"cart",1.80512642860413,9
6,3,1,5,2,4,"cart",1.74245071411133,12
2,5,3,6,4,1,"cart",1.47282373905182,18
3,4,2,1,6,5,"cart",1.53132224082947,7
2,1,3,6,4,5,"cart",1.55505681037903,11
6,3,4,5,2,1,"cart",1.60845708847046,8
5,4,2,3,1,6,"cart",1.54722225666046,12
4,3,1,2,6,5,"cart",1.61338639259338,9
4,2,5,1,6,3,"cart",1.38364386558533,14
2,4,3,1,6,5,"cart",1.45328915119171,19
1,5,2,6,3,4,"cart",1.62234616279602,9
1,4,5,3,6,2,"cart",1.80882668495178,16
2,5,1,4,3,6,"cart",1.33800399303436,17
5,2,3,6,4,1,"cart",1.90382134914398,9
2,4,5,1,6,3,"cart",1.49100565910339,14
4,3,1,2,6,5,"cart",1.31931018829346,12
5,2,3,1,4,6,"cart",1.26687824726105,10
1,4,6,2,3,5,"cart",1.32777547836304,12
2,6,4,5,1,3,"cart",1.762242436409,16
4,3,1,2,5,6,"cart",1.54878115653992,5
5,2,3,1,6,4,"cart",1.35277843475342,10
5,3,2,4,1,6,"cart",1.38535118103027,13
1,4,6,2,3,5,"cart",1.33843111991882,13
3,5,6,4,1,2,"cart",1.41608643531799,8
2,4,6,5,3,1,"cart",1.3798816204071,10
5,1,3,4,2,6,"cart",1.37936151027679,4
3,5,1,4,6,2,"cart",1.45689976215363,4
5,6,4,3,1,2,"cart",1.48103153705597,17
6,3,5,1,4,2,"cart",1.46696019172668,14
3,6,1,5,2,4,"cart",1.32303965091705,8
1,5,3,2,6,4,"cart",1.43097710609436,20
6,2,3,4,5,1,"cart",1.65955495834351,11
5,3,4,6,1,2,"cart",1.36258828639984,9
1,5,2,4,3,6,"cart",1.65057718753815,10
4,5,1,2,3,6,"cart",1.71390616893768,19
5,1,2,6,4,3,"cart",1.74156248569489,19
6,2,3,4,1,5,"cart",1.47929751873016,14
1,4,2,3,5,6,"cart",1.40679502487183,17
3,5,2,6,4,1,"cart",1.39460873603821,6
2,5,6,1,3,4,"cart",1.57088983058929,12
3,5,1,4,6,2,"cart",1.46874618530273,8
2,1,5,3,6,4,"cart",1.32799184322357,6
6,1,5,4,3,2,"cart",1.41898500919342,13
4,1,6,3,5,2,"cart",1.75609600543976,14
1,5,6,4,2,3,"cart",1.66973400115967,14
1,4,3,6,2,5,"cart",1.96055710315704,10
4,6,5,3,2,1,"cart",1.8198618888855,20
3,5,1,2,6,4,"cart",2.1360080242157,5
3,1,2,5,4,6,"cart",1.32346260547638,3
1,4,6,3,2,5,"cart",1.58210754394531,12
5,6,1,3,2,4,"cart",1.38837063312531,21
2,6,5,1,3,4,"cart",1.9535151720047,17
6,5,2,1,4,3,"cart",1.45704317092896,12
3,6,1,4,2,5,"cart",1.88531804084778,8
2,6,3,4,1,5,"cart",1.41599357128143,17
6,3,4,2,1,5,"cart",1.3674191236496,15
6,1,5,4,2,3,"cart",1.71359467506409,13
6,3,5,1,2,4,"cart",1.66135609149933,10
6,1,2,5,4,3,"cart",1.6758314371109,6
6,1,2,3,5,4,"cart",1.51236462593079,10
4,1,2,3,5,6,"cart",1.47967898845673,9
1,4,3,5,6,2,"cart",1.81882846355438,9
4,3,2,6,1,5,"cart",1.47734045982361,11
1,3,5,4,2,6,"cart",1.30127048492432,5
1,5,3,6,2,4,"cart",1.67734742164612,13
3,2,5,1,4,6,"cart",1.38370299339294,3
5,3,1,6,4,2,"cart",1.83795619010925,11
3,6,1,4,5,2,"cart",1.47066617012024,5
4,6,5,2,3,1,"cart",1.68080508708954,15
3,5,4,1,6,2,"cart",1.25960409641266,10
4,6,3,1,5,2,"cart",1.40402448177338,12
6,3,4,1,2,5,"cart",1.74636101722717,16
3,5,2,6,1,4,"cart",1.58327329158783,8
6,1,5,3,2,4,"cart",1.71569013595581,22
6,1,3,2,4,5,"cart",1.54287505149841,15
2,1,6,5,3,4,"cart",1.42378664016724,11
1,3,2,5,4,6,"cart",1.38672053813934,4
5,6,3,4,1,2,"cart",1.4727771282196,16
2,4,6,5,1,3,"cart",1.56469225883484,11
5,3,1,4,6,2,"cart",1.30718684196472,5
4,5,2,3,6,1,"cart",1.75545108318329,16
5,4,2,3,1,6,"cart",1.7918529510498,14
2,3,4,5,1,6,"cart",2.0277247428894,4
6,3,5,4,2,1,"cart",1.36808383464813,10
2,6,4,1,5,3,"cart",1.67367708683014,13
2,6,1,3,4,5,"cart",1.7251889705658,8
1,2,6,4,5,3,"cart",1.59835743904114,6
4,5,1,3,6,2,"cart",1.78042125701904,14
5,4,3,1,6,2,"cart",1.54825282096863,22
1,4,2,3,5,6,"cart",1.50487637519836,10
2,5,6,1,4,3,"cart",1.36414933204651,22
1,4,6,5,3,2,"cart",1.8659245967865,16
4,1,2,6,5,3,"cart",1.50461232662201,6
3,6,5,2,4,1,"cart",1.87745869159698,4
6,4,3,2,5,1,"cart",1.61305451393127,13
1,4,6,3,5,2,"cart",1.77435696125031,15
4,1,5,6,2,3,"cart",1.37945759296417,13
6,3,1,4,2,5,"cart",1.60042369365692,13
6,4,1,3,2,5,"cart",1.72251296043396,12
4,5,2,6,1,3,"cart",1.26781582832336,16
3,5,2,4,1,6,"cart",1.50863564014435,5
3,6,4,1,5,2,"cart",1.83024096488953,6
2,4,6,5,1,3,"cart",1.41882741451263,10
3,1,4,2,5,6,"cart",1.40379154682159,8
3,6,5,2,1,4,"cart",1.64670860767365,5
1,6,3,5,2,4,"cart",1.35775089263916,8
1,4,6,2,5,3,"cart",1.39660358428955,10
1,5,2,4,6,3,"cart",1.24802148342133,6
2,1,6,3,5,4,"cart",1.46086347103119,8
2,5,4,6,3,1,"cart",1.3331264257431,14
2,4,5,3,6,1,"cart",1.3636714220047,9
4,1,6,2,5,3,"cart",1.36058855056763,13
4,3,6,5,1,2,"cart",1.76338720321655,9
6,4,3,1,2,5,"cart",1.63034391403198,16
3,5,1,6,4,2,"cart",1.50631928443909,5
3,6,2,5,1,4,"cart",1.40617704391479,5
3,4,1,2,6,5,"cart",1.26921284198761,7
5,2,4,3,1,6,"cart",1.3838095664978,12
6,1,4,2,5,3,"cart",1.49339830875397,17
4,6,3,5,1,2,"cart",1.37897789478302,23
6,1,2,4,3,5,"cart",1.24328339099884,15
2,3,5,4,6,1,"cart",1.42891454696655,7
1,6,3,5,4,2,"cart",1.53254282474518,16
4,2,5,1,6,3,"cart",1.69223892688751,11
4,2,3,6,1,5,"cart",1.60520195960999,13
3,2,4,5,1,6,"cart",1.78977131843567,5
4,2,6,3,5,1,"cart",1.78960025310516,4
1,6,5,3,2,4,"cart",1.84057867527008,22
4,1,5,2,6,3,"cart",1.29169034957886,12
5,4,3,2,1,6,"cart",1.22975981235504,21
6,2,1,4,3,5,"cart",1.43395948410034,16
5,2,1,6,4,3,"cart",2.03089308738708,13
4,3,5,6,1,2,"cart",1.54744446277618,5
1,2,4,6,5,3,"cart",1.35852921009064,18
5,3,1,6,2,4,"cart",1.3730503320694,11
4,3,6,5,2,1,"cart",1.40754318237305,9
6,1,4,2,5,3,"cart",1.44744336605072,10
5,2,6,3,1,4,"cart",1.46028852462769,12
4,1,2,6,3,5,"cart",1.60713124275208,10
3,4,6,2,1,5,"cart",1.66445350646973,4
4,1,2,5,3,6,"cart",1.54251825809479,7
4,5,1,3,6,2,"cart",1.25177145004272,16
6,2,3,4,1,5,"cart",1.2780829668045,19
1,2,5,6,3,4,"cart",1.34152293205261,16
1,3,4,2,5,6,"cart",1.57260358333588,10
5,3,2,1,6,4,"cart",1.59975779056549,7
5,1,3,6,2,4,"cart",1.55690360069275,8
3,2,6,4,1,5,"cart",1.55080020427704,6
2,4,5,6,3,1,"cart",1.68465435504913,7
4,3,6,2,5,1,"cart",1.65170884132385,15
6,3,1,4,5,2,"cart",1.3499459028244,9
3,2,5,6,1,4,"cart",1.5479781627655,3
3,2,1,5,6,4,"cart",1.73813664913177,6
3,4,6,5,1,2,"cart",1.57383513450623,8
1,6,4,3,2,5,"cart",1.66643643379211,17
1,5,4,2,6,3,"cart",1.26569509506226,15
4,5,1,6,2,3,"cart",1.45010030269623,16
4,1,3,6,5,2,"cart",1.49491763114929,15
5,2,4,3,6,1,"cart",1.45031726360321,12
4,5,3,6,2,1,"cart",1.24016511440277,22
1,6,5,2,4,3,"cart",1.78832197189331,15
5,4,6,1,3,2,"cart",1.42271435260773,11
6,1,2,3,4,5,"cart",1.42816066741943,12
3,2,6,1,5,4,"cart",1.33873331546783,8
5,4,2,6,1,3,"cart",1.31952893733978,15
1,6,3,5,2,4,"cart",1.38971292972565,10
1,3,4,2,6,5,"cart",1.57368552684784,5
2,5,1,3,4,6,"cart",1.51758909225464,8
6,4,5,3,2,1,"cart",1.36324334144592,20
1,2,3,4,6,5,"cart",1.38698494434357,13
6,4,5,2,3,1,"cart",1.69263410568237,11
5,2,4,1,3,6,"cart",1.68971979618073,12
5,2,1,4,3,6,"cart",1.53830397129059,6
1,5,6,2,4,3,"cart",1.3770672082901,13
4,1,3,5,2,6,"cart",1.55403876304626,5
6,2,1,5,4,3,"cart",1.3481650352478,13
2,4,1,3,6,5,"cart",1.89279842376709,12
3,6,2,1,5,4,"cart",1.44036865234375,2
3,1,5,6,4,2,"cart",1.77338778972626,5
4,3,5,2,6,1,"cart",1.59064424037933,12
3,5,2,4,6,1,"cart",1.59452772140503,6
5,1,3,4,2,6,"cart",1.723100066185,13
4,3,2,1,6,5,"cart",1.83662283420563,13
3,2,6,1,4,5,"cart",1.46221697330475,8
1,2,4,3,5,6,"cart",1.38944315910339,11
5,6,4,1,3,2,"cart",1.4917858839035,15
3,6,1,5,2,4,"cart",1.50418329238892,7
6,5,2,3,1,4,"cart",1.48734939098358,12
2,5,6,1,4,3,"cart",1.51657474040985,11
3,1,2,4,5,6,"cart",1.58801317214966,9
5,1,6,2,4,3,"cart",1.90245854854584,25
1,4,3,2,5,6,"cart",1.35990583896637,7
5,1,4,6,2,3,"cart",1.86804616451263,14
2,1,6,5,4,3,"cart",1.41980981826782,15
2,6,5,1,3,4,"cart",1.56555306911469,10
1,5,6,4,2,3,"cart",1.57010996341705,18
2,6,4,3,1,5,"cart",1.30752944946289,15
5,1,6,4,2,3,"cart",1.48535525798798,11
2,1,3,5,6,4,"cart",1.53685259819031,8
3,2,4,6,1,5,"cart",1.55427575111389,7
1,3,4,5,6,2,"cart",1.53963661193848,2
5,2,3,4,1,6,"cart",2.11997389793396,13
5,4,2,1,3,6,"cart",1.36839115619659,16
2,4,5,6,3,1,"cart",1.85063695907593,15
5,1,6,3,4,2,"cart",1.62094855308533,19
3,1,6,5,2,4,"cart",1.48246324062347,5
3,6,1,5,4,2,"cart",1.66977190971375,8
1,4,2,6,5,3,"cart",1.50849425792694,12
6,3,1,2,5,4,"cart",1.54110622406006,6
1,3,5,4,2,6,"cart",1.37987565994263,1
5,3,1,4,2,6,"cart",1.37668871879578,8
2,3,1,5,4,6,"cart",1.8355188369751,4
5,4,6,2,1,3,"cart",2.18663001060486,10
4,6,3,5,2,1,"cart",1.51748096942902,21
2,1,6,4,5,3,"cart",1.40422284603119,14
1,3,5,2,4,6,"cart",1.67996346950531,8
3,5,4,6,2,1,"cart",1.67217934131622,7
5,1,3,6,2,4,"cart",1.34457099437714,9
1,5,4,3,6,2,"cart",1.3027206659317,17
3,5,6,4,1,2,"cart",1.60304117202759,4
6,5,4,2,3,1,"cart",1.63917207717896,19
2,6,5,4,1,3,"cart",1.57461488246918,9
3,6,4,1,5,2,"cart",1.37360370159149,7
5,1,4,3,6,2,"cart",1.34607803821564,22
5,6,1,3,4,2,"cart",1.6367449760437,15
2,1,5,6,4,3,"cart",1.47356200218201,8
4,2,3,6,5,1,"cart",1.37363374233246,17
6,1,4,5,3,2,"cart",1.39429426193237,10
6,2,3,1,5,4,"cart",1.47943818569183,14
4,6,3,1,2,5,"cart",1.75747394561768,17
5,4,1,6,2,3,"cart",1.25247442722321,11
1,2,5,6,4,3,"cart",1.42219245433807,11
6,3,5,4,1,2,"cart",1.59291195869446,6
3,2,1,5,6,4,"cart",1.80525529384613,7
2,6,5,3,1,4,"cart",1.74677991867065,18
4,1,3,6,5,2,"cart",1.45495533943176,7
5,1,6,4,3,2,"cart",1.41964387893677,9
6,2,3,5,4,1,"cart",1.44687068462372,15
5,6,2,4,3,1,"cart",1.53252851963043,13
5,1,6,3,4,2,"cart",1.48209512233734,15
3,6,4,2,1,5,"cart",1.39038395881653,4
3,4,1,6,5,2,"cart",1.67178499698639,5
1,2,6,3,4,5,"cart",1.66279304027557,16
3,5,4,1,6,2,"cart",1.60832118988037,11
5,2,3,1,6,4,"cart",1.74228405952454,8
2,4,1,5,6,3,"cart",1.43581283092499,7
2,3,1,6,5,4,"cart",1.49073672294617,8
1,6,3,2,4,5,"cart",1.39197540283203,12
1,2,6,5,3,4,"cart",1.40725672245026,3
1,6,4,3,5,2,"cart",1.70268976688385,18
6,4,2,3,5,1,"cart",1.39774012565613,12
6,2,3,5,1,4,"cart",1.93216168880463,13
3,1,4,5,6,2,"cart",2.13067007064819,8
1,5,3,6,4,2,"cart",1.54465925693512,20
2,3,1,6,5,4,"cart",1.32906985282898,7
6,2,5,1,4,3,"cart",1.51137673854828,11
3,1,5,2,4,6,"cart",1.86178481578827,5
6,5,2,4,3,1,"cart",1.41104137897491,13
3,2,6,4,5,1,"cart",1.96890187263489,4
6,5,4,3,1,2,"cart",1.58287560939789,16
6,4,5,2,1,3,"cart",1.77947807312012,16
3,6,2,5,4,1,"cart",1.65819811820984,7
1,5,2,4,3,6,"cart",1.54145693778992,12
3,6,2,5,4,1,"cart",2.03511548042297,3
3,6,5,2,4,1,"cart",1.98210513591766,5
3,6,1,2,5,4,"cart",1.68058621883392,2
2,4,1,6,5,3,"cart",1.8480441570282,10
5,1,4,3,2,6,"cart",1.70536720752716,16
3,4,6,2,1,5,"cart",1.44655299186707,8
1,4,3,5,2,6,"cart",1.58636939525604,7
2,1,6,3,4,5,"cart",1.70368194580078,10
4,1,6,3,2,5,"cart",1.5038970708847,20
4,2,6,3,1,5,"cart",1.61482584476471,7
2,6,4,5,3,1,"cart",1.48015880584717,11
2,3,4,6,1,5,"cart",1.79250383377075,6
2,5,1,6,3,4,"cart",1.75181019306183,12
1,2,6,5,3,4,"cart",1.5647087097168,13
1,6,5,2,4,3,"cart",1.46245920658112,16
1,6,3,4,5,2,"cart",1.37890768051147,11
4,3,5,6,2,1,"cart",1.77339446544647,12
6,3,2,1,5,4,"cart",1.34635782241821,6
2,4,1,6,3,5,"cart",1.72680079936981,5
4,6,3,2,1,5,"cart",1.75637924671173,18
2,3,4,5,6,1,"cart",1.69973564147949,11
6,1,4,3,2,5,"cart",1.47965919971466,18
2,5,1,6,3,4,"cart",1.59441936016083,18
2,5,3,6,1,4,"cart",1.50238490104675,9
4,6,2,3,1,5,"cart",1.59903943538666,9
1,5,3,6,2,4,"cart",1.6244490146637,18
1,4,2,5,3,6,"cart",1.29890024662018,12
4,5,6,2,3,1,"cart",1.54933059215546,14
4,6,2,5,3,1,"cart",1.43159651756287,11
2,3,4,1,6,5,"cart",1.91874694824219,6
1,2,3,5,6,4,"cart",1.56118452548981,11
6,5,1,3,2,4,"cart",1.45243513584137,15
1,6,2,3,4,5,"cart",1.61001551151276,15
6,2,3,4,5,1,"cart",1.85578143596649,11
5,6,2,1,4,3,"cart",1.30907809734344,12
3,2,6,4,1,5,"cart",2.05267763137817,9
3,5,1,6,2,4,"cart",1.48591101169586,7
3,2,5,4,1,6,"cart",2.011399269104,3
3,5,1,2,4,6,"cart",1.47412478923798,5
4,6,5,2,3,1,"cart",1.27481663227081,18
6,2,1,3,4,5,"cart",1.30258584022522,12
5,4,2,6,3,1,"cart",1.48861694335938,13
2,3,6,5,4,1,"cart",1.4305408000946,5
5,1,4,3,2,6,"cart",1.72669088840485,12
3,5,4,1,6,2,"cart",1.58924305438995,7
3,4,2,5,6,1,"cart",1.451908826828,7
6,2,1,3,5,4,"cart",1.82191634178162,13
2,6,4,5,1,3,"cart",1.48954129219055,9
1,4,2,6,3,5,"cart",2.18732976913452,11
6,3,5,4,2,1,"cart",1.35246884822845,6
1,3,6,4,5,2,"cart",1.53384244441986,6
